query,tweet,compound,neg,neu,pos
#BlackFriday,"RT @LouisBusch: It's been over two years since @fordnation &amp; @MacLeodLisa froze the OAP waitlist and began dismantling autism services.

@T…",0.0,0.0,1.0,0.0
#BlackFriday,"RT @TorontoUltra: 🚨 #BlackFriday GIVEAWAY 🚨

We got some very LIMITED items for ya, you won't be seeing these again!

Enter for a chance to…",-0.3,0.1,0.838,0.062
#BlackFriday,"🎇𝚈𝚘𝚞 𝚆𝚘𝚗'𝚝 𝙵𝚒𝚗𝚍 𝙱𝚎𝚝𝚝𝚎𝚛 𝙳𝚎𝚊𝚕𝚜 𝙰𝚗𝚢𝚠𝚑𝚎𝚛𝚎....🎇

🔗 https://t.co/FLno3O4Hxd

#blackfridaysale #blackfriday… https://t.co/5VMVbXz8Ef",0.0,0.0,1.0,0.0
#BlackFriday,"RT @LouisBusch: It's been over two years since @fordnation &amp; @MacLeodLisa froze the OAP waitlist and began dismantling autism services.

@T…",0.0,0.0,1.0,0.0
#BlackFriday,"RT @LouisBusch: It's been over two years since @fordnation &amp; @MacLeodLisa froze the OAP waitlist and began dismantling autism services.

@T…",0.0,0.0,1.0,0.0
#BlackFriday,RT @blogTO: People are lining up for hours outside Vaughan Mills but you can't shop at a small business in your neighbourhood #Toronto #Vau…,0.0,0.0,1.0,0.0
#BlackFriday,"RT @TorontoUltra: 🚨 #BlackFriday GIVEAWAY 🚨

We got some very LIMITED items for ya, you won't be seeing these again!

Enter for a chance to…",-0.3,0.1,0.838,0.062
#BlackFriday,RT @trishstratuscom: #BlackFriday deals continue! Grab my Funko Pop! at its lowest price - or maybe a signed Battle Pack by @amydumas &amp; I -…,-0.6988,0.201,0.799,0.0
#BlackFriday,"Bundle me up ! 

https://t.co/jkG15iTHyK 

#BlackFriday #PinkFridayAnniversary  #PinkFriday #BlackFriday2020… https://t.co/pBmsORCNCH",0.0,0.0,1.0,0.0
#BlackFriday,RT @djirdehh: A couple of us from the Black @ Shopify employee resource group built a simple directory to celebrate Black businesses on @Sh…,0.5719,0.0,0.861,0.139
#BlackFriday,Shopping for a #CoffeeLover this #HolidaySeason? You need to see all the great coffee &amp; coffee accessory gifts from… https://t.co/Cd79geJ3MX,0.6249,0.0,0.823,0.177
#BlackFriday,RT @trishstratuscom: #BlackFriday deals continue! Grab my Funko Pop! at its lowest price - or maybe a signed Battle Pack by @amydumas &amp; I -…,-0.6988,0.201,0.799,0.0
#BlackFriday,RT @HairyTarantula: Keep yourself entertained over the holidays with some reading material from HairyT! ALL Graphic Novels and Manga are 20…,0.68,0.0,0.773,0.227
#BlackFriday,"Our #BlackFriday sale has been extended!! It’s not too late to shop your Ien Lee faves for half the price!! 🔥🙌

Use… https://t.co/UA44plN3ES",-0.5526,0.129,0.871,0.0
#BlackFriday,Black Friday sales are upon us and the best ones are RIGHT HERE! Check out some of our best selling mosaic artworks… https://t.co/UmYJTlYtxj,0.8655,0.0,0.707,0.293
#BlackFriday,"#BlackFriday and everything you need under one roof!
Shop our spacious 25,000 SQ. FT. #WAWarehouseSale and over 22… https://t.co/lBP1pKwHi0",0.0,0.0,1.0,0.0
#BlackFriday,Keep yourself entertained over the holidays with some reading material from HairyT! ALL Graphic Novels and Manga ar… https://t.co/IfMbR6dqG3,0.68,0.0,0.752,0.248
#BlackFriday,Treasure hunting on a busy 4th Saturday before Christmas. #BlackFriday #superbusy #quickinandout #iwish @ Upper Can… https://t.co/HncFj8HUSh,0.296,0.0,0.879,0.121
#BlackFriday,"RT @cityoftoronto: This #BlackFriday and throughout the holiday season, do what you can to support #Toronto retailers by shopping their web…",0.6597,0.0,0.779,0.221
